  Yr, Mn,      Date,     CO2
1957,6,1957.4548,312.79
1957,7,1957.537,-99.99
1957,8,1957.6219,-99.99
1957,9,1957.7068,-99.99
1957,10,1957.789,-99.99
1957,11,1957.874,-99.99
1957,12,1957.9562,314.48
1958,1,1958.0411,-99.99
1958,2,1958.126,-99.99
1958,3,1958.2027,314.3
1958,4,1958.2877,-99.99
1958,5,1958.3699,-99.99
1958,6,1958.4548,314.51
1958,7,1958.537,-99.99
1958,8,1958.6219,-99.99
1958,9,1958.7068,315.33
1958,10,1958.789,-99.99
1958,11,1958.874,-99.99
1958,12,1958.9562,-99.99
1959,1,1959.0411,315.09
1959,2,1959.126,315.13
1959,3,1959.2027,315.08
1959,4,1959.2877,-99.99
1959,5,1959.3699,-99.99
1959,6,1959.4548,-99.99
1959,7,1959.537,-99.99
1959,8,1959.6219,315.98
1959,9,1959.7068,316.24
1959,10,1959.789,-99.99
1959,11,1959.874,316.31
1959,12,1959.9562,-99.99
1960,1,1960.041,-99.99
1960,2,1960.1257,-99.99
1960,3,1960.2049,-99.99
1960,4,1960.2896,-99.99
1960,5,1960.3716,-99.99
1960,6,1960.4563,316.4
1960,7,1960.5383,316.73
1960,8,1960.623,316.76
1960,9,1960.7077,-99.99
1960,10,1960.7896,-99.99
1960,11,1960.8743,-99.99
1960,12,1960.9563,-99.99
1961,1,1961.0411,-99.99
1961,2,1961.126,-99.99
1961,3,1961.2027,-99.99
1961,4,1961.2877,-99.99
1961,5,1961.3699,316.79
1961,6,1961.4548,316.86
1961,7,1961.537,316.95
1961,8,1961.6219,317.37
1961,9,1961.7068,317.87
1961,10,1961.789,317.75
1961,11,1961.874,317.86
1961,12,1961.9562,317.66
1962,1,1962.0411,317.45
1962,2,1962.126,317.26
1962,3,1962.2027,317.05
1962,4,1962.2877,317.12
1962,5,1962.3699,317.18
1962,6,1962.4548,317.25
1962,7,1962.537,317.28
1962,8,1962.6219,317.65
1962,9,1962.7068,318.07
1962,10,1962.789,-99.99
1962,11,1962.874,-99.99
1962,12,1962.9562,318.6
1963,1,1963.0411,318.13
1963,2,1963.126,317.86
1963,3,1963.2027,317.47
1963,4,1963.2877,317.9
1963,5,1963.3699,318.27
1963,6,1963.4548,318.22
1963,7,1963.537,318.27
1963,8,1963.6219,318.65
1963,9,1963.7068,318.58
1963,10,1963.789,319.02
1963,11,1963.874,-99.99
1963,12,1963.9562,-99.99
1964,1,1964.041,-99.99
1964,2,1964.1257,-99.99
1964,3,1964.2049,-99.99
1964,4,1964.2896,-99.99
1964,5,1964.3716,-99.99
1964,6,1964.4563,-99.99
1964,7,1964.5383,-99.99
1964,8,1964.623,-99.99
1964,9,1964.7077,-99.99
1964,10,1964.7896,-99.99
1964,11,1964.8743,-99.99
1964,12,1964.9563,-99.99
1965,1,1965.0411,-99.99
1965,2,1965.126,318.68
1965,3,1965.2027,318.56
1965,4,1965.2877,318.69
1965,5,1965.3699,318.89
1965,6,1965.4548,-99.99
1965,7,1965.537,319.39
1965,8,1965.6219,319.68
1965,9,1965.7068,-99.99
1965,10,1965.789,-99.99
1965,11,1965.874,320.17
1965,12,1965.9562,320.26
1966,1,1966.0411,320.35
1966,2,1966.126,320.04
1966,3,1966.2027,320.05
1966,4,1966.2877,320.31
1966,5,1966.3699,320.45
1966,6,1966.4548,320.47
1966,7,1966.537,-99.99
1966,8,1966.6219,321.08
1966,9,1966.7068,321.34
1966,10,1966.789,321.46
1966,11,1966.874,321.55
1966,12,1966.9562,321.06
1967,1,1967.0411,-99.99
1967,2,1967.126,321.0
1967,3,1967.2027,-99.99
1967,4,1967.2877,320.86
1967,5,1967.3699,321.0
1967,6,1967.4548,320.97
1967,7,1967.537,321.07
1967,8,1967.6219,321.88
1967,9,1967.7068,322.09
1967,10,1967.789,321.79
1967,11,1967.874,321.81
1967,12,1967.9562,321.77
1968,1,1968.041,321.53
1968,2,1968.1257,-99.99
1968,3,1968.2049,-99.99
1968,4,1968.2896,321.63
1968,5,1968.3716,321.46
1968,6,1968.4563,321.44
1968,7,1968.5383,-99.99
1968,8,1968.623,-99.99
1968,9,1968.7077,-99.99
1968,10,1968.7896,-99.99
1968,11,1968.8743,-99.99
1968,12,1968.9563,322.65
1969,1,1969.0411,322.36
1969,2,1969.126,-99.99
1969,3,1969.2027,322.26
1969,4,1969.2877,322.29
1969,5,1969.3699,322.59
1969,6,1969.4548,322.78
1969,7,1969.537,323.26
1969,8,1969.6219,323.61
1969,9,1969.7068,324.16
1969,10,1969.789,323.94
1969,11,1969.874,323.96
1969,12,1969.9562,-99.99
1970,1,1970.0411,323.69
1970,2,1970.126,323.53
1970,3,1970.2027,323.43
1970,4,1970.2877,323.68
1970,5,1970.3699,323.76
1970,6,1970.4548,324.19
1970,7,1970.537,324.48
1970,8,1970.6219,324.69
1970,9,1970.7068,325.18
1970,10,1970.789,325.18
1970,11,1970.874,325.24
1970,12,1970.9562,-99.99
1971,1,1971.0411,324.8
1971,2,1971.126,324.61
1971,3,1971.2027,324.32
1971,4,1971.2877,324.48
1971,5,1971.3699,324.67
1971,6,1971.4548,324.92
1971,7,1971.537,325.17
1971,8,1971.6219,-99.99
1971,9,1971.7068,325.77
1971,10,1971.789,-99.99
1971,11,1971.874,325.73
1971,12,1971.9562,-99.99
1972,1,1972.041,-99.99
1972,2,1972.1257,-99.99
1972,3,1972.2049,325.05
1972,4,1972.2896,325.17
1972,5,1972.3716,325.31
1972,6,1972.4563,325.83
1972,7,1972.5383,326.15
1972,8,1972.623,326.86
1972,9,1972.7077,326.54
1972,10,1972.7896,326.77
1972,11,1972.8743,327.03
1972,12,1972.9563,326.81
1973,1,1973.0411,326.75
1973,2,1973.126,326.34
1973,3,1973.2027,326.36
1973,4,1973.2877,326.82
1973,5,1973.3699,327.11
1973,6,1973.4548,327.43
1973,7,1973.537,327.74
1973,8,1973.6219,328.41
1973,9,1973.7068,328.69
1973,10,1973.789,328.62
1973,11,1973.874,328.59
1973,12,1973.9562,328.6
1974,1,1974.0411,328.31
1974,2,1974.126,328.09
1974,3,1974.2027,328.09
1974,4,1974.2877,327.98
1974,5,1974.3699,328.01
1974,6,1974.4548,327.89
1974,7,1974.537,328.48
1974,8,1974.6219,328.7
1974,9,1974.7068,328.95
1974,10,1974.789,329.04
1974,11,1974.874,329.14
1974,12,1974.9562,328.99
1975,1,1975.0411,328.9
1975,2,1975.126,328.9
1975,3,1975.2027,328.86
1975,4,1975.2877,328.95
1975,5,1975.3699,328.94
1975,6,1975.4548,329.08
1975,7,1975.537,329.36
1975,8,1975.6219,329.82
1975,9,1975.7068,330.22
1975,10,1975.789,330.55
1975,11,1975.874,330.46
1975,12,1975.9562,330.28
1976,1,1976.041,330.32
1976,2,1976.1257,330.0
1976,3,1976.2049,329.93
1976,4,1976.2896,329.64
1976,5,1976.3716,329.94
1976,6,1976.4563,330.0
1976,7,1976.5383,330.48
1976,8,1976.623,331.02
1976,9,1976.7077,331.39
1976,10,1976.7896,331.71
1976,11,1976.8743,331.76
1976,12,1976.9563,331.44
1977,1,1977.0411,331.24
1977,2,1977.126,331.01
1977,3,1977.2027,330.86
1977,4,1977.2877,331.33
1977,5,1977.3699,331.42
1977,6,1977.4548,331.63
1977,7,1977.537,332.07
1977,8,1977.6219,332.46
1977,9,1977.7068,332.87
1977,10,1977.789,333.09
1977,11,1977.874,333.31
1977,12,1977.9562,333.2
1978,1,1978.0411,332.85
1978,2,1978.126,332.69
1978,3,1978.2027,332.86
1978,4,1978.2877,332.99
1978,5,1978.3699,-99.99
1978,6,1978.4548,333.39
1978,7,1978.537,333.85
1978,8,1978.6219,334.3
1978,9,1978.7068,334.75
1978,10,1978.789,334.85
1978,11,1978.874,334.6
1978,12,1978.9562,334.3
1979,1,1979.0411,334.03
1979,2,1979.126,334.05
1979,3,1979.2027,333.83
1979,4,1979.2877,334.19
1979,5,1979.3699,334.34
1979,6,1979.4548,334.54
1979,7,1979.537,335.17
1979,8,1979.6219,335.73
1979,9,1979.7068,335.88
1979,10,1979.789,336.01
1979,11,1979.874,336.39
1979,12,1979.9562,336.06
1980,1,1980.041,336.08
